# S5-a photos_cleanup 全链轮 2  @ 2026-09-25T01:20:16+08:00  serial=emulator-5554
09-24 17:21:35.723  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=2/事件拷贝): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:21:35.735  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/事件拷贝): want=[Trash] 同cls节点=2 roots=1 near=[0] kids=1 texts=([], []) || [0, 0, 0, 0, 0, 1, 0, 1] kids=2 texts=([Select, Trash], [More options, Navigate up])
09-24 17:21:35.763  4190  4190 W AnytouchRun: S2SMOKE path unprovable: src=android.widget.LinearLayout(null,null)kids=2pkg=com.google.android.apps.photostext=null evt=android.widget.LinearLayout/[Trash]/null walkDepth=10 roots=android.widget.FrameLayout(null,null)kids=2pkg=com.google.android.apps.photostext=null
09-24 17:21:35.814  4190  4190 I AnytouchRun: S2SMOKE path=chain-unanchored(仅作去抖/折叠键，回放定位走线索): [0, 0, 0, 0, 0, 1, 0, 0, 1, 1] id=null text=Trash desc=null
09-24 17:21:36.026  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:21:36.064  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:21:37.507  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.FrameLayout/More options/null src=android.widget.FrameLayout/null/null id=com.google.android.apps.photos:id/action_bar_overflow
09-24 17:21:37.527  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=1/句柄子树): want=[] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:21:37.527  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/句柄子树): want=[] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:21:37.528  4190  4190 I AnytouchRun: S2SMOKE content no-match(严档 kids=1/事件拷贝): want=[More options] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:21:37.528  4190  4190 I AnytouchRun: S2SMOKE content no-match(宽档/事件拷贝): want=[More options] 同cls节点=2 roots=1 near=[] kids=1 texts=([Empty trash], []) || [0] kids=1 texts=([Empty trash], [])
09-24 17:21:37.530  4190  4190 W AnytouchRun: S2SMOKE path unprovable: src=android.widget.FrameLayout(7792,null)kids=1pkg=com.google.android.apps.photostext=null evt=android.widget.FrameLayout/[More options]/null walkDepth=11 roots=android.widget.FrameLayout(7793,null)kids=1pkg=com.google.android.apps.photostext=null
09-24 17:21:37.536  4190  4190 I AnytouchRun: S2SMOKE path=chain-unanchored(仅作去抖/折叠键，回放定位走线索): [0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1] id=com.google.android.apps.photos:id/action_bar_overflow text=null desc=More options
09-24 17:21:37.670  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.widget.ListView/null/null src=android.widget.ListView/null/null id=null
09-24 17:21:37.670  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=null delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:21:41.526  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
09-24 17:21:42.576  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.support.v7.widget.RecyclerView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:21:42.636  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
